Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DataDrivendemotest,,,2019-03-15 13:39:46,2019-03-15 13:39:56,9.943s,PASSED
,,,,,,
Test Cases/DataDrivenDemoTest,,,2019-03-15 13:39:46,2019-03-15 13:39:51,5.308s,PASSED
"println(""Printing username "" + Username)",,,2019-03-15 13:39:46,2019-03-15 13:39:47,0.014s,PASSED
"sendRequest(findTestObject(""RESTWebservices/CreateUser"", [""username"":Username]))",,,2019-03-15 13:39:47,2019-03-15 13:39:51,4.694s,PASSED
,,,,,,
Test Cases/DataDrivenDemoTest,,,2019-03-15 13:39:51,2019-03-15 13:39:52,1.212s,PASSED
"println(""Printing username "" + Username)",,,2019-03-15 13:39:51,2019-03-15 13:39:51,0.004s,PASSED
"sendRequest(findTestObject(""RESTWebservices/CreateUser"", [""username"":Username]))",,,2019-03-15 13:39:51,2019-03-15 13:39:52,1.163s,PASSED
,,,,,,
Test Cases/DataDrivenDemoTest,,,2019-03-15 13:39:52,2019-03-15 13:39:54,1.424s,PASSED
"println(""Printing username "" + Username)",,,2019-03-15 13:39:52,2019-03-15 13:39:52,0.003s,PASSED
"sendRequest(findTestObject(""RESTWebservices/CreateUser"", [""username"":Username]))",,,2019-03-15 13:39:52,2019-03-15 13:39:54,1.382s,PASSED
,,,,,,
Test Cases/DataDrivenDemoTest,,,2019-03-15 13:39:54,2019-03-15 13:39:55,1.413s,PASSED
"println(""Printing username "" + Username)",,,2019-03-15 13:39:54,2019-03-15 13:39:54,0.003s,PASSED
"sendRequest(findTestObject(""RESTWebservices/CreateUser"", [""username"":Username]))",,,2019-03-15 13:39:54,2019-03-15 13:39:55,1.369s,PASSED
